"","mu","sigma","prejudice","own","out","step"
"174",0.3,0.4,0.2,0.506688290824097,0.0159538851225366,10000
"175",0.3,0.4,0.4,0.929931860822547,0.00369471490182884,10000
"176",0.5,0.01,0,0.499651509929985,0.500018519237989,10000
"177",0.5,0.01,0.05,0.947317005696319,0.0526906557918032,10000
"178",0.5,0.01,0.1,0.985560052681276,0.0144408435412551,10000
"179",0.5,0.01,0.2,0.996735179232423,0.0032621348364436,10000
"180",0.5,0.01,0.4,0.999647457262688,0.00035219777018748,10000
"181",0.5,0.05,0,0.502564008833084,0.50268236904502,10000
"182",0.5,0.05,0.05,0.944979360610438,0.0545929319763383,10000
"183",0.5,0.05,0.1,0.98507658077579,0.0149104466836884,10000
"184",0.5,0.05,0.2,0.99665370525379,0.00334356736664505,10000
"185",0.5,0.05,0.4,0.99963247160115,0.000365188053742306,10000
"186",0.5,0.1,0,0.49148182561543,0.501852730751942,10000
"187",0.5,0.1,0.05,0.936659845819554,0.0611362771171204,10000
"188",0.5,0.1,0.1,0.983439140801898,0.0164090053000255,10000
"189",0.5,0.1,0.2,0.996380396803312,0.00362355045072598,10000
"190",0.5,0.1,0.4,0.999564856044008,0.000438451089962851,10000
"191",0.5,0.2,0,0.501011434146233,0.504709193513915,10000
"192",0.5,0.2,0.05,0.889714662470476,0.108339059537102,10000
"193",0.5,0.2,0.1,0.969324447591445,0.0305460005925475,10000
"194",0.5,0.2,0.2,0.99410348333108,0.00580849821319163,10000
"195",0.5,0.2,0.4,0.99920556515404,0.00080114565317477,10000
"196",0.5,0.4,0,0.491483797828061,0.502282553907797,10000
"197",0.5,0.4,0.05,0.702011392105954,0.304239505689334,10000
"198",0.5,0.4,0.1,0.822284534401424,0.175596404379967,10000
"199",0.5,0.4,0.2,0.930460436686417,0.0699048031222387,10000
"200",0.5,0.4,0.4,0.983924091362677,0.0160470087939952,10000
"201",0.7,0.01,0,0.996736084025536,0.996739877343281,10000
"202",0.7,0.01,0.05,0.998128193965206,0.993771817223175,10000
"203",0.7,0.01,0.1,0.99888827825994,0.985562822783937,10000
"204",0.7,0.01,0.2,0.999647516870671,0.50019055827048,10000
"205",0.7,0.01,0.4,0.999998598381636,0.0032643098536364,10000
"206",0.7,0.05,0,0.996654927104654,0.996653595443995,10000
"207",0.7,0.05,0.05,0.998084722160764,0.993617249745478,10000
"208",0.7,0.05,0.1,0.99885918918379,0.985049375576512,10000
"209",0.7,0.05,0.2,0.999634465184519,0.499689399191987,10000
"210",0.7,0.05,0.4,0.99999755334794,0.00334086450697286,10000
"211",0.7,0.1,0,0.996331444839608,0.996351732708846,10000
"212",0.7,0.1,0.05,0.997939163625396,0.993021053963197,10000
"213",0.7,0.1,0.1,0.998769440982536,0.983602022445685,10000
"214",0.7,0.1,0.2,0.999563755177607,0.505983729324337,10000
"215",0.7,0.1,0.4,0.999975535139373,0.00363035706731467,10000
"216",0.7,0.2,0,0.993967134642999,0.994169062001155,10000
"217",0.7,0.2,0.05,0.996793152058837,0.988189411223308,10000
"218",0.7,0.2,0.1,0.998083124281619,0.969684681331012,10000
"219",0.7,0.2,0.2,0.999215201835418,0.499109838122939,10000
"220",0.7,0.2,0.4,0.999856658727639,0.00597320063767497,10000
"221",0.7,0.4,0,0.930450537775621,0.931559974027193,10000
"222",0.7,0.4,0.05,0.953392106646312,0.8943712093315,10000
