"","TL","TGS","prejudice","own","out","step"
"235",0.9,0.35,0.4,0.999481193472472,0.0108508700818335,10000
"236",0.9,0.5,0,0.974946124412778,0.974927030673476,10000
"237",0.9,0.5,0.05,0.987724346083156,0.933780387094058,10000
"238",0.9,0.5,0.1,0.993104807571274,0.805488675573478,10000
"239",0.9,0.5,0.2,0.997191959825007,0.481227307652551,10000
"240",0.9,0.5,0.4,0.999496667884777,0.0681806221754814,10000
"241",0.9,0.65,0,0.985454784130934,0.985548936947483,10000
"242",0.9,0.65,0.05,0.991895124263079,0.972572070988508,10000
"243",0.9,0.65,0.1,0.995106809316558,0.941966463986164,10000
"244",0.9,0.65,0.2,0.997742422843488,0.749508906369437,10000
"245",0.9,0.65,0.4,0.999543763497873,0.262603555719984,10000
"246",0.9,0.8,0,0.991440028621141,0.991456662832037,10000
"247",0.9,0.8,0.05,0.994748889332217,0.987436738453538,10000
"248",0.9,0.8,0.1,0.996480319907707,0.979459364798016,10000
"249",0.9,0.8,0.2,0.998250176205566,0.930119728590432,10000
"250",0.9,0.8,0.4,0.99959031651478,0.535897650277262,10000
